# form	pos	sources — entries in no book, holding up nothing
# tools/prune.py
ахроматикалық	adj	apertium,kazdict
ахроматопсия	n	apertium
ахроматты	adj	kazdict
ахсады	?	kazdict
ахсатты	?	kazdict
ахсақбұхсақ	?	kazdict
ахтерпик	?	kazdict
ахтерштевень	?	kazdict
ахтехана	?	kazdict
ахусн	?	kazdict
ацат	abbr	apertium
ацетат	n	apertium,kazdict
ацетилхолин	n	apertium
ацетон	n	apertium,kazdict
ацетонды	adj	kazdict
ацетофенон	n	apertium
ацидоз	n	apertium,kazdict
ацидоздай	adj	kazdict
ацидофилин	n	kazdict
ацидофиль	n	kazdict
ацидофильді	adj	kazdict
ацидофильдік	adj	kazdict
ациклдық	adj	apertium
ациялардан	?	baseline
ацэид	?	kazdict
ачарлар	?	kazdict
ачлар	?	kazdict
ачышды	?	kazdict
ачыған	?	kazdict
ачығланыб	?	kazdict
ачығы	?	kazdict
ачықланыб	?	kazdict
аш-аламан	adj	kazdict
аш-арық	adj	kazdict
аш-ашлық	?	kazdict
аш-жалаңаш	adj	kazdict
аш-тоқ	adj	kazdict
аш-шариға	?	kazdict
аш-шафиғийа	?	kazdict
аш-шахада	?	kazdict
аш-шиа	?	kazdict
ашабақан	n	kazdict
ашаддылық	n	kazdict
ашалану	v	kazdict
ашалап-ашалап	adv	kazdict
ашалаң	adj	baseline,kazdict
ашамайлан	?	kazdict
ашамайтой	?	kazdict
ашамая	?	kazdict
ашамүйізділер	n	kazdict
ашар-ашпастан	adv	kazdict
ашарат	n	kazdict
ашасүйек	n	kazdict
ашатты	?	kazdict
ашағар	n	kazdict
ашақай	n	kazdict
ашақлады	?	kazdict
ашаңдан	?	baseline,kazdict
ашаңдану	?	baseline
ашбасбақ	n	kazdict
ашбаспақ	n	baseline,kazdict
ашбүйір	n	apertium
ашжаулық	?	kazdict
ашийана	?	kazdict
ашимханов	np	apertium
аширбаев	np	apertium
ашйиа	?	kazdict
ашкенази	?	kazdict
ашкеров	np	apertium
ашкриз	?	kazdict
ашкөк	?	kazdict
ашлады	?	kazdict
ашлалды	?	kazdict
ашлатты	?	kazdict
ашлынды	?	kazdict
ашлышды	?	kazdict
ашлығы	?	kazdict
ашлықны	?	kazdict
ашмаралдау	?	kazdict
ашмаса	adj	kazdict
ашнап	?	kazdict
ашны	?	kazdict
ашпа-жалап	adv	kazdict
ашпузыл	?	kazdict
ашпұзыл	n	kazdict
ашрат	?	kazdict
ашрафларына	?	kazdict
ашрұлды	?	kazdict
ашсады	?	kazdict
ашсатты	?	kazdict
аштан-аш	adv	kazdict
ашты-тоқты	adj	kazdict
ашты-тәтті	adj	kazdict
аштылы-тоқтылы	adv	kazdict
аштық-аптадалық	?	kazdict
аштық-жалаңаштық	n	kazdict
аштық-шөл	n	kazdict
аштұрды	?	kazdict
ашу-айғай	n	kazdict
ашу-араз	n	kazdict
ашу-аразды	adj	kazdict
ашу-араздық	n	kazdict
ашу-аразсыз	adj	kazdict
ашу-дұшпан	?	kazdict
ашу-жанжал	n	kazdict
ашу-зіл	n	kazdict
ашу-зілсіз	adj	kazdict
ашу-кек	n	kazdict
ашу-реніш	n	kazdict
ашу-шам	n	kazdict
ашу-ыза	n	kazdict
ашуайт	n	kazdict
ашуат	adj	baseline,kazdict
ашуатшөп	n	baseline,kazdict
ашуланшақтау	?	kazdict
ашуланғыз	?	baseline
ашуланғыштық	n	kazdict
ашулас	adj	kazdict
ашуыт	?	kazdict
ашхана	?	kazdict
ашылар-ашылмастан	adv	kazdict
ашылмалы-жабылмалы	?	kazdict
ашылусыз	adj	kazdict
ашылып-жабылу	?	kazdict
ашылып-жұмыл	v	kazdict
ашылып-шашыл	?	kazdict
ашымық	n	kazdict
ашына-жай	n	kazdict
ашына-жайлық	n	kazdict
ашыналасу	?	kazdict
ашынту	?	kazdict
ашынулы	adj	kazdict
ашынушылық	n	baseline,kazdict
ашып-арып	adv	kazdict
ашып-жабу	?	kazdict
ашып-жап	v	kazdict
ашып-жарып	adv	apertium,kazdict
ашып-жұм	v	kazdict
ашып-жұму	?	kazdict
ашып-шаш	?	kazdict
ашыру	?	kazdict
ашырқандыр	?	baseline,kazdict
ашырқант	?	baseline,kazdict
ашырқану	?	baseline,kazdict
ашырқаған	adj	apertium
ашытылу	?	kazdict
ашытған	?	kazdict
ашытқыла	?	baseline,kazdict
ашытқылан	?	kazdict
ашытқылану	?	kazdict
ашытқылау	?	baseline,kazdict
ашытқылық	n	apertium,baseline,kazdict
ашыш	?	kazdict
ашышды	?	kazdict
ашығлық	?	kazdict
ашығсады	?	kazdict
ашығушы	n	kazdict
ашығып-арып	adv	kazdict
ашық-жабық	?	kazdict
ашық-жайдақ	adj	kazdict
ашық-жарық	adj	kazdict
ашық-жарқын	adj	apertium,kazdict
ашық-жарқындық	n	kazdict
ашық-машық	n	kazdict
ашық-тесік	adj	kazdict
ашық-шашық	adj	kazdict
ашықауыздан	v	kazdict
ашықауыздану	?	kazdict
ашықот	?	kazdict
ашықталу	?	kazdict
ашықтан-ашық	adv	kazdict
ашықтырт	?	baseline
ашықтырыл	?	kazdict
ашықтырылу	?	kazdict
ашықхат	n	kazdict
ашыңқырау	?	baseline
ашьіналық	n	kazdict
ашішек	n	kazdict
ашішектей	adj	kazdict
ашішекше	adv	kazdict
ашғынды	?	kazdict
ашқабақ	?	kazdict
ашқарақтау	adj	kazdict
ашқия	?	kazdict
ашқылтымдан	?	baseline,kazdict
ашқылтымдану	?	baseline
ашқұрсақтық	n	kazdict
ашүлді	?	kazdict
ашүқлүғ	?	kazdict
ашұнды	?	kazdict
ашұрды	?	kazdict
ашұрған	?	kazdict
ашұтты	?	kazdict
ашұқлады	?	kazdict
ашұқлұғ	?	kazdict
ашұқты	?	kazdict
ащы-тәтті	n	kazdict
ащыландыр	?	kazdict
ащыландыру	?	kazdict
ащылану	?	kazdict
ащыласу	?	kazdict
ащылату	?	kazdict
ащылауыт	adj	baseline,kazdict
ащылы-тұщылы	adj	kazdict
ащынауа	?	kazdict
ащысыну	?	baseline
ащысыра	v	kazdict
ащысырау	?	kazdict
ащытамыр	n	baseline,kazdict
аэроб	n	apertium
аэробика	n	apertium,kazdict
аэробтар	n	kazdict
аэробты	adj	apertium
аэробус	n	apertium,kazdict
аэрогеофизика	n	kazdict
аэрограф	n	apertium,kazdict
аэрография	n	apertium
аэрозоль	n	apertium,baseline,kazdict
аэрозольдық	?	baseline
аэрозольді	adj	kazdict
аэролифт	n	apertium
аэролог	n	apertium,kazdict
аэрология	n	apertium,kazdict
аэрологиялық	adj	kazdict
аэромагнитометр	n	kazdict
аэромектеп	n	apertium,kazdict
аэрометр	n	apertium
аэрометрия	n	apertium
аэромобиль	n	apertium,kazdict
аэрон	n	apertium
аэронавт	n	kazdict
аэронамия	n	kazdict
аэропоезд	n	kazdict
аэропоника	n	kazdict
аэросебу	n	apertium
аэростатика	n	kazdict
аэросурет	n	apertium,baseline,kazdict
аэросүзгі	n	apertium
аэротерапия	n	kazdict
аэротермометр	n	apertium
аэротозаңдандырғыш	n	apertium
аэротүсіру	n	kazdict
аэротүсірім	n	kazdict
аэрофагия	n	apertium
аэрофон	n	apertium
аэрофототүсіру	n	apertium,baseline
аэрофототүсірім	n	kazdict
аэрошамшырақ	n	apertium
аэрошана	n	apertium,baseline,kazdict
аэроғарыш	n	kazdict
аэроғарыштық	adj	apertium
аэроқұрылыс	n	apertium
аэроәдіс	n	kazdict
аюбалдырған	n	baseline,kazdict
аюжондан	v	kazdict
аюжондану	?	kazdict
аюжылан	n	kazdict
аюжүн	n	kazdict
аюжүнді	adj	kazdict
аюоты	n	baseline,kazdict
аютабан	n	apertium,baseline,kazdict
аюшат	np	apertium
аюқурай	n	kazdict
аябақ	n	kazdict
аябоз	adj	kazdict
аяз-боран	n	kazdict
аязата	n	baseline,kazdict
аязатадай	adj	kazdict
аяздану	?	kazdict
аяздату	?	baseline,kazdict
аяздау	?	kazdict
аязсыз	adj	kazdict
аязқала	np	apertium
аял-пүял	?	kazdict
аял-пұял	n	kazdict
аяластыр	?	kazdict
аялату	?	kazdict
аялдама-бекініс	n	kazdict
аялдаттыр	?	kazdict
аялдатыл	?	kazdict
аялдатылу	?	kazdict
аялдаңқырау	?	kazdict
аямпаздық	n	kazdict
аянестік	?	baseline
аянкестен	v	kazdict
аянкестену	?	kazdict
аянкестік	n	kazdict
аянсақ	adj	kazdict
аяншақтану	?	kazdict
аяныштау	adj	kazdict
аярлану	?	baseline,kazdict
аярсу	?	baseline,kazdict
аясыздық	n	kazdict
аясырақ	?	kazdict
аят-хадис	n	apertium
аят-қадіс	n	kazdict
аятылкүрсі	n	kazdict
аяубаев	np	apertium
аяччо	np	apertium
аяғансу	?	kazdict
аяғарды	?	kazdict
аяғылыу	?	kazdict
аяғыштық	n	baseline,kazdict
аяқ-бас	n	kazdict
аяқ-басы	?	apertium,kazdict
аяқ-киім	n	apertium
аяқ-табақ	n	kazdict
аяқ-шанақ	?	kazdict
аяқ-қол	n	kazdict
аяқартқыш	n	kazdict
аяқбаулы	adj	kazdict
аяқбаусыз	adj	kazdict
аяқдоп	?	baseline
аяқдопшы	n	kazdict
аяқжақсы	n	kazdict
аяқкиімді	adj	kazdict
аяқкиімсіз	adj	kazdict
аяқмәшине	n	kazdict
аяқсыту	?	kazdict
аяқтабақ	n	kazdict
аяқтаспа	?	kazdict
аяқтоғыз	n	kazdict
аяқтыбалық	?	kazdict
аяққапсыз	adj	kazdict
аяққұр	n	kazdict
аяң-бұяң	n	kazdict
аяң-жортақ	n	kazdict
аяң-пұяң	n	kazdict
аяңдасу	?	kazdict
аяңдату	?	kazdict
аға-жеңге	n	kazdict
аға-іні	n	kazdict
аға-інідей	adj	kazdict
ағайлас	v	kazdict
ағайраң	adj	kazdict
ағайсенов	np	apertium
ағайын-ажын	n	kazdict
ағайын-анжы	n	kazdict
ағайын-анны	n	kazdict
ағайын-ауқым	n	kazdict
ағайын-жекжат	n	kazdict
ағайын-жұрағат	n	kazdict
ағайын-жұрт	n	apertium,kazdict
ағайын-тума	n	kazdict
ағайын-туыс	n	kazdict
ағайын-туған	n	apertium,kazdict
ағайын-туғандық	n	kazdict
ағайын-туғансыз	adj	kazdict
ағайындастық	n	kazdict
ағайындасу	?	kazdict
ағайынды-қарындас	n	kazdict
ағайынсу	?	kazdict
ағайынсымақ	n	kazdict
ағайыншылау	?	baseline,kazdict
ағайыншылдық	n	apertium
ағал-жағал	adj	kazdict
ағал-сағал	adj	kazdict
ағалау	?	kazdict
ағалдану	n	kazdict
ағалы-інілі	adj	kazdict
ағалы-қарындастай	adj	kazdict
ағалы-қарындасты	adj	kazdict
ағанияз	?	kazdict
ағараңдау	?	kazdict
ағартыс	v	kazdict
ағартысу	?	kazdict
ағартық	n	kazdict
ағартғұ	?	kazdict
ағартқыш	n	apertium,kazdict
ағарынқы	adj	kazdict
ағарғаншыл	adj	kazdict
ағасыздық	n	kazdict
ағасыну	?	baseline,kazdict
ағасұлтан	n	kazdict
ағатайлау	?	baseline,kazdict
ағаулау	?	kazdict
ағауыз	n	baseline,kazdict
ағашат	n	kazdict
ағашжегі	n	baseline,kazdict
ағашжегіштер	n	kazdict
ағашжойғы	n	kazdict
ағашккөмір	n	kazdict
ағашсымақ	adj	kazdict
ағаштандыр	v	kazdict
ағаштандыру	?	kazdict
ағаштану	n	kazdict
ағаштарақ	n	kazdict
ағашшырмауық	n	kazdict
ағбыт	v	kazdict
ағбыту	v	kazdict
ағдарғыл	adj	kazdict
ағеділ	np	apertium
ағекеле	v	kazdict
ағжи	v	kazdict
ағжию	?	kazdict
ағзон	?	kazdict
ағиу	?	kazdict
ағиқат	?	kazdict
ағламлау	v	kazdict
ағланшы	?	kazdict
ағлатты	?	kazdict
ағлая	np	apertium
ағлескей	?	kazdict
ағлескер	?	kazdict
ағлоп	?	kazdict
ағлүп	?	kazdict
ағлұп	n	kazdict
ағлөп	n	baseline,kazdict
ағмалану	?	kazdict
ағнады	?	kazdict
ағнатты	?	kazdict
ағрынды	?	kazdict
ағрытты	?	kazdict
ағрыштылар	?	kazdict
ағрықанды	?	kazdict
ағрұды	?	kazdict
ағрұқланды	?	kazdict
ағтылды	?	kazdict
ағуала	v	baseline,kazdict
ағуалау	v	baseline,kazdict
ағуалаушы	n	kazdict
ағуашы	n	baseline,kazdict
ағулады	?	kazdict
ағулау	v	kazdict
ағушылық	n	kazdict
ағы-жөні	?	kazdict
ағызбақтай	adv	kazdict
ағыздыр	v-trans	apertium,kazdict
ағыздыру	?	kazdict
ағыздырыл	?	kazdict
ағыздырылу	?	kazdict
ағызлады	?	kazdict
ағызып-тамыз	v	kazdict
ағызып-тамызу	?	kazdict
ағызыңқыра	v	kazdict
ағызыңқырау	?	kazdict
ағыл-тегіл	adv	kazdict
ағылескей	n	kazdict
ағылескер	adj	kazdict
ағылжым	adj	kazdict
ағылмалы	adj	baseline,kazdict
ағылту	?	kazdict
ағылшындан	v	kazdict
ағылшындандыр	?	kazdict
ағылшындандыру	?	kazdict
ағылшындану	?	kazdict
ағылшыншылдық	n	apertium
ағылысу	?	kazdict
ағылөк	?	kazdict
ағылөп	?	kazdict
ағымал	n	kazdict
ағын-тегін	?	kazdict
ағын-төгін	n	kazdict
ағындан	?	kazdict
ағындану	?	kazdict
ағындату	?	kazdict
ағындау	?	kazdict
ағындылар	n	kazdict
ағыну	v	kazdict
ағынқұмар	n	kazdict
ағып-бұғып	?	kazdict
ағып-тамып	adv	kazdict
ағырақтау	adj	kazdict
ағырлады	?	kazdict
ағырлығ	?	kazdict
ағырышмаған	?	kazdict
ағысу	?	kazdict
ағытпалы	adj	kazdict
ағыттыру	?	kazdict
ағытылдыр	v	kazdict
ағытыс	v	baseline,kazdict
ағытысу	?	kazdict
ағытған	?	kazdict
ағытқыз	v-trans	apertium,baseline,kazdict
ағытқызу	?	kazdict
ағышды	?	kazdict
ағқышлағ	?	kazdict
ағүй	?	kazdict
ағұжлұғ	?	kazdict
ағұрық	n	baseline,kazdict
ағұрұқ	?	kazdict
ағұсақ	?	baseline,kazdict
ағұқты	?	kazdict
ақ-қара	n	kazdict
ақай-тоқай	?	kazdict
ақайран	adj	kazdict
ақайрандал	v	kazdict
ақайрандан	v	kazdict
ақайрандану	?	kazdict
ақайрауық	n	kazdict
ақайт	?	baseline
ақалалық	?	kazdict
ақалаушы	n	kazdict
ақамур	n	kazdict
ақанбарақ	np	apertium
ақандоз	n	kazdict
ақаншы	n	baseline,kazdict
ақаншылық	n	kazdict
ақар-шақар	adj	apertium,kazdict
ақарлы-шақарлы	adj	kazdict
ақарыб	?	kazdict
ақатұлы	np	apertium
ақаукөргіш	n	kazdict
ақаукөргіштік	n	kazdict
ақаулану	?	kazdict
ақаулылық	n	kazdict
ақаусыздық	n	baseline,kazdict
ақаутапқы	n	kazdict
ақаю	?	kazdict
ақақаулас	v	kazdict
ақбалшық	n	kazdict
ақбана	?	kazdict
ақбаршы	n	kazdict
ақбасбалау	n	kazdict
ақбасшөп	n	baseline,kazdict
ақбасқурай	n	kazdict
ақбасқын	n	kazdict
ақбатес	np	apertium
ақбаттауық	n	kazdict
ақбейіл	adj	kazdict
ақбейілдік	n	kazdict
ақбидайлы	adj	kazdict
ақбидайық	n	kazdict
ақбоздану	?	kazdict
ақбоздық	n	kazdict
ақбозшөп	n	kazdict
ақбон-доқ	?	kazdict
ақбүйрек	n	kazdict
ақбүркеншек	?	kazdict
ақбүркеншік	n	kazdict
ақбұзаубас	n	kazdict
ақбұлым	np	apertium
ақбәтес	?	kazdict
ақдабы	n	baseline,kazdict
ақдаласор	np	apertium
ақдегелек	n	kazdict
ақдігер	?	kazdict
ақдәнекер	n	kazdict
ақдөң	np	apertium
ақебат	?	kazdict
ақезу	n	kazdict
ақетек	adj	kazdict
ақжайқын	np	apertium,kazdict
ақжамшы	n	kazdict
ақжанат	np	apertium
ақжапа	n	kazdict
ақжапалақ	n	kazdict
ақжапырақ	n	apertium,baseline,kazdict
ақжарқа	n	kazdict
ақжарқындан	v	kazdict
ақжарқындану	?	kazdict
ақжауындай	adj	kazdict
ақжауындат	v	kazdict
ақжауындату	?	kazdict
ақжағалақ	n	kazdict
ақжағалдан	v	kazdict
ақжелкек	n	kazdict
ақжелін	n	kazdict
ақжемделу	?	kazdict
ақжемдену	?	kazdict
ақжемдет	?	kazdict
ақжемдету	?	kazdict
ақжемдеу	?	kazdict
ақжиде	n	baseline,kazdict
ақжирен	n	kazdict
ақжолтайлық	?	kazdict
ақжуа	n	kazdict
ақжусан	n	kazdict
ақжілік	adj	kazdict
ақжүгері	n	kazdict
ақжүзгін	n	kazdict
ақжүрексу	?	kazdict
ақжүрексі	v	kazdict
ақжүрексін	v	kazdict
ақжүрексіну	?	kazdict
ақзат	n	kazdict
ақзия	?	kazdict
ақзу	n	kazdict
ақи-тақи	adv	kazdict
ақикөздену	?	kazdict
ақиландыр	?	kazdict
ақиландыру	?	kazdict
ақилану	v	kazdict
ақилат	?	kazdict
ақилық	n	kazdict
ақим	?	kazdict
ақиреттей	adj	kazdict
ақиыр	?	kazdict
ақиыс	?	baseline
ақию	?	baseline
ақиқаттал	v	kazdict
ақиқатшылдық	n	kazdict
ақкекілік	n	kazdict
ақкекіре	n	apertium
ақкеп	n	kazdict
ақкеуіл	adj	kazdict
ақкүйе	n	kazdict
ақкөбелек	n	kazdict
ақкөде	n	kazdict
ақкөзден	v	kazdict
ақкөздену	?	kazdict
ақкөкіректік	n	kazdict
ақкөрпе	n	kazdict
ақкөш	n	kazdict
ақлақты	adj	kazdict
ақлақтық	adj	kazdict
ақлышды	?	kazdict
ақләйлек	n	kazdict
ақләйлі	n	kazdict
ақмарту	n	kazdict
ақмартулы	adj	kazdict
ақмасақтық	n	apertium
ақмыя	n	apertium
ақмұнар	n	kazdict
ақмұнарлан	v	kazdict
ақмұнарлану	?	kazdict
ақмұқамбет	?	kazdict
ақмәмбет	np	apertium
ақмәнжін	?	kazdict
ақнабат	n	baseline,kazdict
ақнарша	adj	kazdict
ақнауат	n	baseline,kazdict
ақнәсілді	adj	kazdict
ақойыл	n	kazdict
ақпай-тоқпай	adv	kazdict
ақпалу	?	kazdict
ақпалық	n	kazdict
ақпан-тоқпан	n	kazdict
ақпана	n	kazdict
ақпандату	?	kazdict
ақпар-кітапша	n	apertium
ақпараттық-анықтамалық	adj	kazdict
ақпараттық-насихаттық	adj	kazdict
ақпаратшы	n	kazdict
ақпаршы	n	apertium,baseline,kazdict
ақпаршыл	adj	kazdict
ақпаршылдық	n	kazdict
ақпатаяқ	n	kazdict
ақпия	n	kazdict
ақпыр	?	kazdict
ақпыштақ	?	kazdict
ақсайит	n	kazdict
ақсап-тоқсап	adv	kazdict
ақсарылан	v	kazdict
ақсарымсақ	n	kazdict
ақсарыша	adv	kazdict
ақсаты	n	kazdict
ақсаулақ	n	kazdict
ақсаусақтау	adj	kazdict
ақсаха	n	kazdict
ақсақ-тоқсақ	n	apertium,kazdict
ақсақал-қарасақал	n	kazdict
ақсақаллары	?	kazdict
ақсақалларын	?	kazdict
ақсақаллықлар	?	kazdict
ақсақалшылық	n	kazdict
ақсақтемір	n	kazdict
ақсаңдау	?	baseline,kazdict
ақсаңырауқұлақ	n	kazdict
ақселеудей	adj	kazdict
ақселеулен	v	kazdict
ақселеулену	?	kazdict
ақсирақтан	v	kazdict
ақсирақтану	v	kazdict
ақсиыс	?	kazdict
ақсию	?	kazdict
ақсу-аюлы	np	apertium
ақсуаты	n	kazdict
ақсубай	np	apertium
ақсулау	adj	kazdict
ақсуыртпақ	?	kazdict
ақсыла	?	kazdict
ақсыну	?	kazdict
ақсыра	v	baseline,kazdict
ақсырау	?	kazdict
ақсырттан	n	baseline,kazdict
ақсырғақ	n	kazdict
ақсырқын	n	kazdict
ақсүйексу	?	kazdict
ақсүйексі	v	kazdict
ақсүйектену	?	kazdict
ақсүйектеу	adj	kazdict
ақсүйекшіл	adj	kazdict
ақсүп	n	kazdict
ақсүттен	v	kazdict
ақсүттену	?	kazdict
ақсүңқардай	adj	kazdict
ақсұла	n	kazdict
ақсұлама	n	kazdict
ақсұлтан	np	apertium,kazdict
ақсұн	?	kazdict
ақсұп	?	kazdict
ақсөл	n	apertium
ақсөңкелен	v	kazdict
ақсөңкелену	?	kazdict
ақтабандық	n	kazdict
ақталау	v	kazdict
ақтамар	?	kazdict
ақтамыр	n	kazdict
ақтаныш	np	apertium
ақтармалат	v	kazdict
ақтармалату	?	kazdict
ақтармалау	?	kazdict
ақтарып-төңкер	v-trans	apertium,kazdict
ақтарыстырғансу	?	kazdict
ақтарыстырғансы	v	kazdict
ақтарғыштау	?	kazdict
ақтастысай	np	apertium
ақтауқалақай	n	kazdict
ақтаяу	n	kazdict
ақтағыр	n	kazdict
ақтаңдақтану	?	kazdict
ақтаңкер	adj	kazdict
ақтаңлақтан	v	kazdict
ақтаңлақтану	?	kazdict
ақтиіндей	adj	kazdict
ақтопалаң	?	baseline
ақтопырақ	?	kazdict
ақторық	n	kazdict
ақторғай	n	apertium
ақтулақ	n	kazdict
ақтуша	n	kazdict
ақты-қарасын	?	kazdict
ақты-қызылды	adj	kazdict
ақтыгер	?	kazdict
ақтылы-қаралы	adj	kazdict
ақтыран	?	kazdict
ақтігер	n	kazdict
ақтігердей	adj	kazdict
ақтқ	?	baseline
ақтүйежоңышқа	n	kazdict
ақтүймеш	n	kazdict
ақтүйнек	n	apertium
ақтүйіршік	n	kazdict
ақтүлкі	n	baseline,kazdict
ақтүн	n	kazdict
ақтұнжыр	n	kazdict
ақтұрды	?	kazdict
ақтұт	n	kazdict
ақтұш	?	kazdict
ақтұңғиық	n	kazdict
ақтәнді	adj	apertium
ақтөстену	?	kazdict
ақуалық	n	kazdict
ақубат	?	kazdict
ақуыздай	adj	kazdict
ақуызды	adj	apertium
ақуыздық	adj	apertium
ақша-несие	n	kazdict
ақшайыр	n	apertium,baseline,kazdict
ақшалай-заттай	adv	kazdict
ақшалат	v	kazdict
ақшалау	?	baseline
ақшамсоқыр	?	baseline
ақшатай	n	baseline,kazdict
ақшаған	n	apertium,baseline
ақшаңдау	?	baseline
ақшешекше	n	apertium,baseline
ақшеңгелді	np	apertium
ақшию	?	baseline
ақшоқан	?	baseline
ақшуақ	n	baseline,kazdict
ақшыл-қоңырқай	adj	kazdict
ақшылдану	?	baseline
ақшытыр	n	apertium,baseline
ақшірік	n	kazdict
ақшөп	n	baseline,kazdict
ақы-пұл	n	kazdict
ақы-пұлсыз	adj	kazdict
ақыжа	n	kazdict
ақыиды	?	kazdict
ақыие	?	kazdict
ақыл-айла	n	apertium,kazdict
ақыл-дүкен	n	kazdict
ақыл-ес	n	apertium,kazdict
ақыл-есті	adj	kazdict
ақыл-естілік	n	apertium
ақыл-жарым	adj	kazdict
ақыл-зерде	n	kazdict
ақыл-кеңес	n	kazdict
ақыл-күш	n	kazdict
ақыл-көмек	n	kazdict
ақыл-көрік	n	kazdict
ақыл-ой	n	apertium,kazdict
ақыл-ойлы	adj	kazdict
ақыл-парасат	n	kazdict
ақыл-сана	n	kazdict
ақыл-сезім	n	kazdict
ақыл-таразы	n	kazdict
ақыл-қайрат	n	kazdict
ақыл-әдіс	n	kazdict
ақыластыр	v	kazdict
ақылау	v	kazdict
ақылгөйсіну	?	kazdict
ақылдасқыз	?	baseline
ақылдау	v	kazdict
ақылдысыну	?	baseline
ақылзайып	n	kazdict
ақыллық	?	kazdict
ақылсу	?	kazdict
ақылсыздану	?	baseline
ақылсөз	n	kazdict
ақылшай	?	kazdict
ақылшылық	n	kazdict
ақыльі	adj	kazdict
ақымақшылдық	n	kazdict
ақымдау	?	kazdict
ақын-жазушы	n	kazdict
ақын-жырау	n	kazdict
ақын-жыршы	n	kazdict
ақын-әнші	n	kazdict
ақындық-азаматтық	adj	kazdict
ақынсу	?	baseline
ақынсыну	?	kazdict
ақыр-ауан	?	kazdict
ақыр-тақыр	adv	kazdict
ақыр-тақырында	?	kazdict
ақыраб	np	apertium
ақырал	?	kazdict
ақыраю	?	baseline
ақырақта	v	kazdict
ақыраңдат	?	baseline
ақырет-азар	n	kazdict
ақырлау	?	kazdict
ақырмаш	?	kazdict
ақыртақтай	?	kazdict
ақырту	?	kazdict
ақыртүлек	?	kazdict
ақыру-жекіру	v	kazdict
ақыршақ	?	kazdict
ақырын-ақырын	adv	kazdict
ақырып-бақыр	v	kazdict
ақырып-жекір	v	kazdict
ақырып-зекір	v	kazdict
ақырыс-жекіріс	n	kazdict
ақырық	n	kazdict
ақырьш	?	baseline
ақырғақ	?	kazdict
ақысыз-пұлсыз	adj	kazdict
ақытған	?	kazdict
ақышды	?	kazdict
ақьір	?	kazdict
ақэжамшы	?	kazdict
ақірімшік	n	kazdict
аққайын	?	baseline
аққалақ	n	apertium,baseline,kazdict
аққанбұрлық	np	apertium
аққандылық	n	apertium
аққарағай	n	kazdict
аққарын	n	kazdict
аққарқара	n	kazdict
аққаса	?	kazdict
аққатпа	n	kazdict
аққаудан	?	kazdict
аққаңбақ	n	baseline,kazdict
аққия	?	baseline
аққобаң	n	kazdict
аққодал	n	kazdict
аққорғасын	n	kazdict
аққос	n	kazdict
аққоңыр	np	apertium
аққоңырбас	n	apertium,baseline,kazdict
аққу-қаз	n	kazdict
аққу-өлең	n	kazdict
аққугүл	n	kazdict
аққуоты	n	kazdict
аққурайлы	adj	kazdict
аққылағай	n	kazdict
аққылтан	n	apertium,baseline,kazdict
аққылтық	?	baseline,kazdict
аққытайы	?	kazdict
аққыштық	n	apertium,kazdict
аққұмырсқа	n	kazdict
аққұр	n	kazdict
аққұяш	np	apertium
ақүй	n	kazdict
ақүйме	n	kazdict
ақүрпіктен	v	kazdict
ақүрпілен	v	kazdict
ақұнтақ	n	kazdict
ақұнтақты	adj	kazdict
ақұрық	?	kazdict
ақұсақ	n	kazdict
ақәжетай	np	apertium
ақөлең	n	kazdict
аң-заң	n	kazdict
аң-таң	adj	apertium,kazdict
аңаза	?	kazdict
аңазақ	n	kazdict
аңазу	v	kazdict
аңару	?	kazdict
аңдаба	n	kazdict
аңдалақтау	?	kazdict
аңдаусыздау	adv	kazdict
аңдауымша	adv	kazdict
аңдағайлат	v	kazdict
аңдағайлату	?	kazdict
аңдағайлау	?	kazdict
аңдағансу	?	kazdict
аңдағансы	v	kazdict
аңдағыштық	n	apertium,baseline,kazdict
аңдыз-андызсын	?	kazdict
аңдыз-аңдыз	?	kazdict
аңдыздау	?	kazdict
аңдымалы	adj	kazdict
аңдырлық	adj	kazdict
аңдыстыру	?	kazdict
аңдыттыр	?	baseline
аңдыту	?	kazdict
аңжалақ	n	kazdict
аңза	?	kazdict
аңзаман	n	kazdict
аңит	?	kazdict
аңию	v	kazdict
аңкесіртке	n	kazdict
аңлау-саңлау	adj	kazdict
аңлысу	?	kazdict
аңрашды	?	kazdict
аңсамалы	adj	kazdict
аңсампаз	adj	baseline,kazdict
аңсап-шөлде	v	kazdict
аңсасьі	?	kazdict
аңсаттыру	?	kazdict
аңсату	?	kazdict
аңсағайлан	v	baseline,kazdict
аңсағайлану	?	kazdict
аңсақтық	n	kazdict
аңсырат	?	baseline
аңсырау	?	kazdict
аңсық	n	kazdict
аңтайлы	adj	kazdict
аңтару	?	kazdict
аңтарылулы	adj	kazdict
аңтарыс	v	kazdict
аңшылықтану	n	kazdict
аңыз-ертегі	n	kazdict
аңыз-әңгіме	n	apertium,kazdict
аңыз-әңгімеші	n	apertium
аңызаяқ	n	apertium
аңыздайын	adj	kazdict
аңыздандыр	v	kazdict
аңыздандыру	?	kazdict
аңыздаушы	n	apertium,kazdict
аңызғақтай	adj	kazdict
аңылады	?	kazdict
аңылау	?	kazdict
аңылжу	v	kazdict
аңылжыт	?	kazdict
аңылжыту	?	kazdict
