# form	pos	sources — entries in no book, holding up nothing
# tools/prune.py
автотипия	n	apertium
автотрансформатор	n	apertium,kazdict
автотропизм	?	kazdict
автотрофты	adj	apertium
автотуризм	n	apertium,kazdict
автотурист	n	kazdict
автотіркегіш	n	kazdict
автотіркеме	n	apertium,kazdict
автотіркес	n	apertium,baseline,kazdict
автотіркеуіш	n	apertium,kazdict
автотүсіргі	n	apertium
автотүсіргіш	n	kazdict
автофургон	n	apertium,kazdict
автошабандоз	n	apertium
автошана	n	apertium,baseline,kazdict
автошеберхана	n	apertium,baseline,kazdict
автошеру	n	kazdict
автоштұрман	?	kazdict
автошығыр	n	apertium,kazdict
автоэкология	n	apertium
автоэлектрик	n	kazdict
автоқалашық	n	kazdict
автоқопарғыш	n	kazdict
автоқұрылыс	n	apertium
авуарлар	n	kazdict
авункулат	?	kazdict
авункулокалды	?	kazdict
авылқұ	?	kazdict
авынды	?	kazdict
авынч	?	kazdict
авытты	?	kazdict
агаков	np	apertium
агарча	?	kazdict
агаһсыз	?	kazdict
аггравация	?	kazdict
аггрегат	n	apertium
агиспелагус	n	kazdict
агитацияла	v-trans	apertium
агломератшы	n	kazdict
агломератшылық	n	kazdict
аглопорит	n	kazdict
аглютинативтілік	n	kazdict
агнешка	np	apertium
агнозик	?	kazdict
агнозия	n	apertium,kazdict
агню	np	apertium
агонистер	?	kazdict
агониялы	adj	apertium
агорафобия	n	apertium
агостино	np	apertium
агранулоцитоз	?	kazdict
агранулоциттер	n	kazdict
агрек	n	kazdict
агреман	n	apertium,kazdict
агробақылау	n	apertium,baseline
агробиолог	n	kazdict
агробиологиялық	adj	baseline,kazdict
агробөлме	n	kazdict
агродақыл	?	baseline
агроегіншілік	n	apertium
агроереже	n	apertium,baseline
агрожәрдем	n	baseline,kazdict
агрокешен	n	apertium,kazdict
агроклиматология	?	kazdict
агроклиматтық	adj	apertium,kazdict
агромаман	?	baseline
агромелиоративтік	adj	kazdict
агрометеорология	n	apertium,kazdict
агрометеорологиялық	adj	kazdict
агронұсқау	?	baseline
агрооқу	?	baseline
агрооқыту	n	apertium
агропункт	n	apertium
агротәсіл	n	apertium,baseline
агрофизикалық	adj	kazdict
агрофирма	n	kazdict
агрошара	n	apertium,baseline,kazdict
агроэкожүйе	n	kazdict
агроэкология	n	apertium,kazdict
агроғылым	n	apertium,baseline,kazdict
агроқұрылым	n	kazdict
агуреев	np	apertium
агустин	np	apertium
агэ	?	kazdict
агүрішк	?	kazdict
ад-дауам	?	kazdict
ад-дурузииа	?	kazdict
ада-гүде	adv	kazdict
ада-жүда	adv	kazdict
ада-жұда	?	kazdict
ада-күде	adv	kazdict
адалану	?	kazdict
адалақ	?	kazdict
адалақтау	?	kazdict
адалсу	?	kazdict
адалымсу	?	kazdict
адалымсы	v	kazdict
адам-жылан	n	kazdict
адам-күн	n	kazdict
адам-сағат	n	kazdict
адам-қара	?	kazdict
адамантты	adj	apertium
адамдау	?	kazdict
адамден	?	baseline
адамдық-пенделік	n	kazdict
адамжуа	n	kazdict
адамкиік	n	kazdict
адамсыт	?	baseline
адамтамыр	n	apertium
адамшөп	n	kazdict
аданас	adj+n	baseline,kazdict
адаптациялану	?	kazdict
адаптер	n	apertium,kazdict
адаптометр	n	kazdict
адарғыла	?	baseline
адарғылау	v	kazdict
адастай	adj	kazdict
адасқыз	?	baseline
адасқыш	adj	kazdict
адау-қадау	?	kazdict
адауір	?	kazdict
адашды	?	kazdict
адашлық	?	kazdict
адағайлат	?	kazdict
адағайлату	?	kazdict
адағайлау	v	kazdict
адақлы	?	kazdict
адақлысыныңы	?	kazdict
адақтал	v	kazdict
адақталу	?	kazdict
адақтас	?	baseline
адақтату	?	kazdict
адаққы	adj	kazdict
адбан	n	kazdict
адвербиальді	adj	apertium
аддендум	n	apertium,kazdict
адекваттылық	?	kazdict
адела	np	apertium
аделаиде	np	apertium
аделиб	?	kazdict
аделина	np	apertium
аденин	n	apertium
аденовирустар	?	kazdict
аденозин	n	apertium
аденоид	?	kazdict
аденокарцинома	n	kazdict
аденома	n	apertium
аденопатия	n	apertium
аджанта	np	apertium
аджар	n	baseline,kazdict
аджарлық	?	baseline
аджастер	?	kazdict
аджива	?	kazdict
адживика	?	kazdict
адзақ	?	kazdict
адзақлады	?	kazdict
адзақланды	?	kazdict
адзақлығ	?	kazdict
адзнады	?	kazdict
адзнатты	?	kazdict
адзрылды	?	kazdict
адзут	?	kazdict
адзылды	?	kazdict
адзышды	?	kazdict
адзығ	?	kazdict
адзық	?	kazdict
адзғырақ	?	kazdict
адзғырланды	?	kazdict
адзұқлады	?	kazdict
адиабаталық	adj	apertium
адиантум	n	kazdict
адидже	np	apertium
адим	?	kazdict
адипоцит	n	apertium
адмиралдық	?	baseline
адор	?	kazdict
адресатын	?	baseline
адрестелген	adj	apertium
адриана	np	apertium
адриано	np	apertium
адриен	np	apertium
адрия	np	apertium
адсорбент	n	apertium
адуакат	n	kazdict
адулық	n	kazdict
адумбота	?	kazdict
адуындат	?	baseline
адуындаңқыра	v	kazdict
адуындылау	adj	kazdict
адуындырақ	adj	kazdict
адъективті	adj	apertium,kazdict
адъюдикация	?	kazdict
адъюнктура	?	kazdict
адъютанттық	?	baseline
адымдасу	?	kazdict
адымдат	v	baseline,kazdict
адымдату	?	kazdict
адымдаушы	adj	apertium,baseline
адымдағыш	adj	apertium,baseline
адымөлшер	n	apertium
адын-гүдін	?	kazdict
адыр-адыр	adj	kazdict
адыр-бұдыр	adj	kazdict
адыр-бұдырлы	adj	kazdict
адыр-бұдырлылық	n	apertium
адыр-қырқа	n	kazdict
адырайлық	n	apertium
адырайту	?	kazdict
адырайыс	v	kazdict
адырана	n	baseline,kazdict
адыраспантөбе	np	apertium
адырауық	?	kazdict
адыраю	?	baseline,kazdict
адырақбайлық	?	kazdict
адырақта	v	kazdict
адырақтау	?	kazdict
адыраң-адыраң	?	kazdict
адыраңдас	v	baseline,kazdict
адыраңдат	v	baseline,kazdict
адыраңдату	?	kazdict
адыраңдау	?	baseline,kazdict
адыраңдық	n	apertium,baseline
адыраңқы	adj	kazdict
адырлану	?	kazdict
адырмақ-бұдырмақ	?	kazdict
адырсыз	adj	kazdict
адыршық	n	kazdict
адырғы	?	kazdict
адың-күдің	adj	kazdict
адюков	np	apertium
адюльтер	n	apertium
адігөн	?	kazdict
аек	abbr	apertium
ажайиб	?	kazdict
ажайыпхана	n	kazdict
ажал-тажал	n	kazdict
ажалкөктену	?	kazdict
ажалман	n	kazdict
ажалшы	n	kazdict
ажантай	n	kazdict
ажантайлық	n	kazdict
ажаптан	v	kazdict
ажар-көрік	n	kazdict
ажар-сымбат	n	kazdict
ажарбек	np	apertium,kazdict
ажаргүл	np	apertium
ажарлат	v	kazdict
ажарлату	?	kazdict
ажарлаушы	n	apertium,baseline,kazdict
ажарлауыш	n	baseline,kazdict
ажарлағыш	n	baseline,kazdict
ажарсыздану	?	kazdict
ажатты	adj	kazdict
ажағайлану	?	kazdict
аждад	?	kazdict
аждарқа	?	kazdict
аждат	?	kazdict
ажио	?	kazdict
ажио-контро	?	kazdict
ажуа-мазақ	n	apertium,kazdict
ажуа-мысқыл	n	kazdict
ажуа-сықақ	n	kazdict
ажуалас	?	kazdict
ажуаласу	v	kazdict
ажуашылдық	n	baseline,kazdict
ажула	?	kazdict
ажылдас	v	kazdict
ажылдасу	?	kazdict
ажылдат	v	kazdict
ажылдату	?	kazdict
ажылдау	v	kazdict
ажылыңқара	?	kazdict
ажымдай	adj	kazdict
ажына	n	kazdict
ажырайту	?	kazdict
ажырайысу	?	kazdict
ажырамдылық	?	kazdict
ажыранда	v	kazdict
ажырасараяқ	n	kazdict
ажырастыру	n	apertium,kazdict
ажыраттыр	?	baseline
ажыратыс	n	kazdict
ажыратыңқыра	v	kazdict
ажыратыңқырау	?	kazdict
ажыратқыз	?	baseline
ажыраю	?	baseline,kazdict
ажыраң-ажыраң	?	kazdict
ажырым	n	apertium,baseline,kazdict
ажырықсыз	adj	kazdict
ажыған	?	kazdict
ажығұнық	adj	kazdict
ажұт	?	kazdict
аз-аз	adj	kazdict
аз-аздан	adv	apertium,kazdict
аз-аздап	adv	kazdict
аз-зайдийа	?	kazdict
аз-захирийа	?	kazdict
аз-кем	adv	apertium,kazdict
аз-көп	adv	kazdict
аз-маз	adv	kazdict
аз-маздап	adv	kazdict
аз-маздаған	adv	kazdict
аз-мыз	?	kazdict
аз-мұз	adv	kazdict
аз-мұздап	adv	kazdict
аз-мұздаған	adv	kazdict
аз-паз	?	kazdict
аза-мұң	n	kazdict
азагер	n	kazdict
азадлығ	?	kazdict
азайттыр	v	kazdict
азайттыру	?	kazdict
азайтушы	n	kazdict
азайтылмайтын	adj	apertium
азайтқыз	v	kazdict
азайтқызу	?	kazdict
азайынқандық	n	kazdict
азайғыш	n	apertium,baseline,kazdict
азал-мазал	?	kazdict
азалану	?	kazdict
азалат	v	kazdict
азалдин	?	kazdict
азалииа	?	kazdict
азан-қазан	n	apertium,kazdict
азандату	?	baseline,kazdict
азандау	?	kazdict
азандық	n	baseline,kazdict
азаншылық	n	kazdict
азап-арал	n	kazdict
азап-бейнет	n	kazdict
азап-зықы	n	kazdict
азап-зәбір	n	kazdict
азап-машақат	n	kazdict
азап-мехнат	n	kazdict
азап-мұң	n	kazdict
азап-сор	n	kazdict
азап-қайғы	n	kazdict
азап-қасірет	n	kazdict
азап-қорлық	n	kazdict
азап-қыспақ	n	kazdict
азапсын	v	kazdict
азапсыну	?	kazdict
азаптандыр	v	baseline,kazdict
азаптандыру	?	kazdict
азаптат	v	kazdict
азаптату	?	kazdict
азар-азар	adv	kazdict
азар-мазар	adv	kazdict
азарда-безер	?	kazdict
азарде	?	kazdict
азарлану	v	kazdict
азарлау	n	apertium
азарсыз	?	kazdict
азатбан	np	apertium
азатбас	n	kazdict
азатбек	np	apertium
азатжол	n	baseline,kazdict
азаткереге	n	kazdict
азаттал	v	kazdict
азатшылық	n	apertium,baseline,kazdict
азаюшылық	n	apertium
азаңдау	?	kazdict
азбандан	v	kazdict
азбандану	?	kazdict
азбандық	n	apertium,kazdict
азбансын	v	kazdict
азбансыну	?	kazdict
азбаыт	?	kazdict
азбеніш	n	kazdict
азбынша	adv	kazdict
азбыт	v	kazdict
азда-аз	adv	kazdict
азды-кем	?	kazdict
азды-кемді	adv	kazdict
азды-көп	adv	kazdict
азды-көпті	adj+adv	kazdict
аздырт	?	baseline
аздырушылық	n	apertium,baseline
аздырып-тоздыр	v	kazdict
азербайжанша	adv	kazdict
азизрак	?	kazdict
азимуталды	adj	apertium
азиятша	adv	kazdict
азланды	?	kazdict
азлық	?	kazdict
азнақай	np	apertium
азотжинағыш	n	kazdict
азотсыз	adj	kazdict
азотсүйгіш	n	kazdict
азоттау	?	kazdict
азотқор	n	kazdict
азошәует	n	apertium
азоқосылыстар	n	kazdict
азсынушылық	n	apertium
азтола	adv	kazdict
азуағаш	n	kazdict
азулану	?	kazdict
азуласу	?	kazdict
азулау	?	baseline
