# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates held back for being one letter from an entry. Most are
# that entry misspelt; some are words with an unlucky neighbour.
қоны	3	3	18	44
берегірек	5	3	17	44
уклад	11	4	11	44
қаратон	9	6	60	43
сыдиықов	9	5	30	43
диоген	5	4	29	43
қаражал	14	6	27	43
құдабай	7	5	27	43
лин	8	6	19	43
кәкішев	6	3	15	43
хасанов	6	3	15	43
падишаһ	22	15	133	42
ыждаһат	19	13	132	42
ереке	15	11	103	42
шота	11	9	97	42
хотан	13	9	47	42
қызылтас	7	4	25	42
ботпай	9	7	24	42
жайылхан	3	3	21	42
якуб	8	4	19	42
шотланд	10	5	17	42
қарақұл	11	4	16	42
қыстаубай	4	3	16	42
өңез	5	3	12	42
марғасқа	5	3	9	42
робинзон	6	3	9	42
есеке	10	11	125	41
қарасаз	19	9	76	41
тоқабай	8	6	43	41
жамантай	8	6	39	41
отпан	12	9	29	41
сенека	6	5	27	41
ботбай	7	5	24	41
ибрай	6	5	18	41
бозжорға	6	5	11	41
фил	3	3	8	41
аброй	10	11	86	40
жақай	14	12	76	40
кузьмич	14	8	30	40
бөлекбай	8	5	21	40
бісмілла	8	5	17	40
артистка	6	4	16	40
манера	7	5	14	40
нұрман	3	3	14	40
мүс	5	3	12	40
сенбек	5	3	11	40
бухарин	6	3	10	40
козла	3	3	10	40
стул	5	3	6	40
эллин	18	10	76	39
нұртаза	11	9	44	39
натура	8	7	35	39
сережа	6	6	34	39
ашина	12	8	32	39
боқай	9	6	24	39
байсейітова	4	4	21	39
жданов	5	3	21	39
мақан	8	6	18	39
сералин	3	3	18	39
рази	4	3	9	39
цинь	7	4	8	39
дүн	3	3	6	39
хүкімет	23	15	85	38
кельт	13	6	53	38
балх	18	12	48	38
қызылсай	7	6	47	38
хұсайынов	9	4	36	38
кәкітай	6	5	27	38
сиған	6	4	27	38
зернов	10	5	26	38
ойсыл	12	5	24	38
ақмоншақ	10	5	23	38
бектас	5	3	16	38
жұмахан	3	3	13	38
гоби	6	3	12	38
уклон	7	5	12	38
нива	5	5	11	38
һәрне	4	4	11	38
байбоз	8	4	10	38
луки	5	3	6	38
дионис	13	7	44	37
қарақол	10	5	33	37
гуля	9	7	26	37
қарамола	5	5	22	37
бекетай	5	4	21	37
танаш	10	4	20	37
әбікен	3	3	17	37
хора	14	7	16	37
юсуп	5	3	13	37
шмидт	5	3	12	37
пре	4	4	10	37
сорта	5	3	9	37
полотна	4	3	6	37
тян	3	3	6	37
мұха	11	11	253	36
келге	6	6	96	36
бесқала	7	7	90	36
бетбақ	18	10	54	36
тұрысбек	12	5	39	36
азиат	15	8	38	36
алқаш	19	9	37	36
деспот	17	9	33	36
дарий	5	4	30	36
катон	3	3	23	36
алеша	6	6	21	36
қарабала	4	4	19	36
сәбет	7	5	19	36
далабай	6	4	17	36
қалихан	3	3	16	36
мыз	8	3	15	36
киселев	5	3	12	36
абдаллах	7	3	11	36
сөй	17	15	266	35
семит	16	9	63	35
пантеон	16	11	60	35
көкөзек	13	6	49	35
троя	17	11	48	35
мәрзия	7	6	38	35
заратуштра	7	7	30	35
мұқатай	5	4	24	35
қалабай	6	5	18	35
мүй	4	5	13	35
сіреңке	6	4	13	35
хазрет	4	3	13	35
таңжарық	9	3	12	35
ығылман	3	3	10	35
қылжия	5	3	7	35
ғүрып	41	20	116	34
асеке	11	10	103	34
аңшыбай	9	8	53	34
маңғұл	22	10	51	34
тілла	11	9	41	34
шаһнама	6	6	34	34
қарағұл	14	6	33	34
обоз	16	7	28	34
ғазали	5	4	27	34
михайловна	4	4	24	34
нұргүл	10	4	22	34
нұрқан	5	4	19	34
шкен	7	5	19	34
нұрманов	9	4	18	34
тұрсынхан	3	3	14	34
қарақұдық	5	3	9	34
теу	4	3	953	33
қанипа	13	10	43	33
