# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates, not entries: read them before admitting them.
# `bare` is how many books write the stem on its own.
қабылбек	12	5	21	26
каганович	6	4	18	26
шектібай	4	3	16	26
хайролла	4	4	15	26
жоламанов	7	3	12	26
петрарка	3	3	12	26
бекдаш	5	3	11	26
челябі	3	3	11	26
бердіғожин	7	3	9	26
особняк	5	3	9	26
публика	5	4	8	26
евклид	11	6	39	25
тұщыбек	13	7	36	25
кенжекей	7	7	34	25
куропаткин	8	5	33	25
ячейка	17	11	33	25
хорезмшах	13	7	31	25
дионисий	9	7	28	25
қарашүңгіл	14	6	27	25
прообраз	16	9	26	25
анахарсис	10	4	25	25
жаманқұл	12	5	23	25
казачество	6	6	18	25
путевка	8	6	18	25
құмкөл	10	4	15	25
псевдоним	6	4	15	25
тютчев	7	3	15	25
сенсация	5	4	11	25
прибалтика	3	3	10	25
нарманбет	6	4	9	25
антонина	3	3	8	25
көккөз	7	3	8	25
жұмеке	9	9	165	24
бейсеке	8	8	48	24
евангелие	14	12	32	24
ұлбике	4	4	22	24
сарықамыс	7	4	21	24
құбығұл	15	7	20	24
ломакин	6	3	20	24
фейербах	7	3	15	24
камалиденов	6	4	14	24
кенжеғұл	10	3	13	24
сарыөзен	3	3	11	24
шыртанов	5	3	9	24
куманикус	7	3	8	24
тойшыбек	9	3	7	24
ақбөпе	11	9	42	23
скандинав	12	6	32	23
фортепиано	5	5	28	23
еврипид	10	5	24	23
саржомарт	7	4	16	23
йассауи	7	4	15	23
аштархан	5	4	13	23
карутц	5	3	11	23
қарамолда	3	3	11	23
сарыүйсін	5	4	10	23
төреқұл	8	3	10	23
кешубай	4	3	9	23
қыздарбек	8	3	9	23
чернигов	6	4	9	23
столба	7	4	8	23
қалмырза	4	3	7	23
комбинация	38	25	173	22
манихей	15	9	50	22
дюркгейм	9	6	34	22
афродита	7	6	33	22
гуссерль	12	6	33	22
скептик	12	6	29	22
шалкөде	5	5	28	22
кертөбел	9	4	27	22
тойнби	7	4	25	22
сайлаубек	12	5	23	22
бергсон	3	3	22	22
талдыбұлақ	10	5	22	22
келмембет	5	5	18	22
пастернак	11	5	17	22
ватерлоо	4	4	16	22
коробка	8	6	16	22
мицкевич	9	5	16	22
римлян	12	6	16	22
мақтаарал	10	4	14	22
мефистофель	5	3	14	22
сарқант	8	4	13	22
якобсон	3	3	12	22
дәулетбек	7	3	11	22
қырымқұл	10	3	11	22
расин	6	3	11	22
сасықкөл	6	3	7	22
бейсана	11	9	70	21
аналитика	8	8	41	21
жұфұт	6	7	26	21
халдун	6	5	26	21
яксарт	10	6	25	21
қыдырқожа	5	5	22	21
стендаль	12	6	22	21
дайырқожа	3	3	21	21
ильясов	5	3	17	21
бердіқұлов	7	4	16	21
комфорт	10	6	16	21
жанбике	4	4	15	21
төлеубек	7	3	15	21
махабхарата	4	4	14	21
шойынқұлақ	10	4	14	21
синьцзян	5	3	13	21
гудогі	3	3	12	21
шуманақ	9	4	12	21
османлы	7	4	10	21
байболов	5	3	9	21
найзабек	7	3	9	21
сағынғалиев	7	4	9	21
зеравшан	3	3	8	21
қарымсақов	6	3	7	21
колокол	6	3	6	21
наместник	6	3	6	21
скамейка	16	12	88	20
евангелия	18	13	33	20
беседка	6	5	32	20
половец	10	5	31	20
речитатив	15	9	30	20
ғамзатов	10	4	27	20
княжна	13	10	24	20
қоскөл	10	5	23	20
майтөбе	5	5	23	20
байсалбай	6	4	21	20
жылыбұлақ	10	5	21	20
жылқайдаров	14	7	20	20
әлниязов	8	4	19	20
дәлелхан	6	5	17	20
неруда	5	4	17	20
петька	5	6	17	20
ілиясов	6	4	17	20
парпария	5	5	16	20
спекуляция	6	4	16	20
естеміс	7	4	15	20
қожамқұл	10	3	13	20
шөмішбай	4	3	13	20
бәдіғұлжамал	8	3	12	20
скобелев	9	4	12	20
клочков	6	3	11	20
кузьма	4	4	11	20
ликург	5	3	11	20
курляндия	5	5	10	20
михайловский	4	3	10	20
ришелье	3	3	10	20
тарланбоз	10	4	10	20
тәтімов	6	3	10	20
корчагин	8	4	9	20
қазымбет	6	3	9	20
бижанов	6	3	8	20
меңдекеш	7	3	7	20
иезуит	21	11	69	19
тастөбе	5	5	34	19
қартқожа	10	9	32	19
герцогиня	7	6	28	19
мамырбек	8	4	20	19
сириус	10	4	18	19
несториан	8	4	17	19
сорбонна	3	3	15	19
аристофан	4	3	14	19
