# given	admitted	docs_given	docs_admitted — Russian-document spellings
# replaced by the Kazakh spelling the books show people writing
егинбай	егінбай	3	12
едилбаев	еділбаев	0	6
едилбай	еділбай	0	39
едилжан	еділжан	0	4
едилов	еділов	2	9
едилхан	еділхан	0	7
елеусин	елеусін	0	18
елеусинов	елеусінов	2	9
еликбай	елікбай	0	5
енсебаев	еңсебаев	0	3
ерали	ерәлі	2	15
ергалиев	ерғалиев	19	79
еримбетов	ерімбетов	0	6
еркегали	еркеғали	2	25
еркегул	еркегүл	0	4
еркинбай	еркінбай	0	13
еркинбек	еркінбек	0	22
еркинбеков	еркінбеков	0	6
еркинов	еркінов	0	5
еркожа	ерқожа	0	10
еркосай	ерқосай	0	8
ермагамбет	ермағамбет	2	19
ермаганбет	ермағанбет	0	9
ермеккали	ермекқали	0	4
ермукан	ермұқан	0	16
ермурат	ермұрат	0	7
ермухамбет	ермұхамбет	0	3
ермухаммед	ермұхаммед	0	3
ермухан	ермұхан	0	22
ермуханбет	ермұханбет	0	5
ерсултан	ерсұлтан	0	4
ертаргын	ертарғын	2	10
есенали	есенәлі	0	17
есенгазы	есенғазы	0	4
есенгали	есенғали	3	69
есенгелди	есенгелді	0	60
есенкелди	есенкелді	0	42
есенкул	есенқұл	0	50
есимжан	есімжан	0	12
есимхан	есімхан	0	29
есимханов	есімханов	0	4
есиркеп	есіркеп	4	270
есиркепов	есіркепов	0	11
ескалиев	есқалиев	3	23
жагыпаров	жағыпаров	0	3
жайнагул	жайнагүл	0	3
жакаев	жақаев	2	21
жаканов	жақанов	4	17
жакеев	жәкеев	0	4
жакен	жәкен	6	32
жакенов	жәкенов	0	3
жаксыбаев	жақсыбаев	2	14
жаксыбек	жақсыбек	2	18
жаксыбеков	жақсыбеков	0	5
жаксыгали	жақсығали	0	5
жаксымурат	жақсымұрат	0	3
жакыпбек	жақыпбек	0	29
жакыпбеков	жақыпбеков	0	9
жакыпов	жақыпов	0	42
жалгасбаев	жалғасбаев	3	20
жалгасбай	жалғасбай	0	18
жанаберген	жаңаберген	2	8
